uml diagram
unified modeling language
software design
Class diagram
Component diagram
Composite structure diagram
Deployment diagram
Object diagram
Package diagram
Profile diagram
Activity diagram
Communication diagram
Interaction overview diagram
Sequence diagram
State diagram
Timing diagram
Use case diagram
object oriented software engineering
OOSE
structure diagram
behavior diagram
interaction diagram
activity diagram
state machine diagram
model
object-oriented software
design diagram
model-driven architecture mda
