software |Software |software ,113.27272727272727
engineering |Engineering |engineering ,98.33333333333333
software engineering |Software engineering |software engineering |Software Engineering ,53.18181818181818
engineer |Engineers |engineer |engineers ,38.333333333333336
computer |computer |computers |Computers ,20.5
software engineer |Software engineers |software engineers |software engineer |Software Engineer |Software Engineers ,20.0
technology |technology |Technology ,17.5
edit |edit ,14.5
certification |certification |certifications |Certification ,14.5
system |systems |system |Systems ,14.333333333333334
degree |Degrees |degree |degrees ,14.333333333333334
science |Science |science ,14.25
article |articles |article |Articles ,14.11111111111111
development |development ,13.0
silver bullet |silver bullets |silver bullet ,12.0
programming |programming ,10.666666666666666
programmer |Programmers |programmer |programmers ,10.333333333333334
computer science |Computer Science |computer science |Computer science |Computer Sciences ,10.25
program |programs |program ,10.0
project |Projects |project |projects ,9.333333333333334
architecture |architecture ,9.0
geoscientist |Geoscientists ,9.0
process |processes |process |Process |Processes ,9.0
code |Codes |codes |code ,9.0
acm |ACM ,9.0
ieee |IEEE ,8.666666666666666
needed |needed ,8.666666666666666
isbn |ISBN ,8.5
professional engineer |professional engineer |Professional Engineers |professional engineers ,8.5
term |term |terms ,8.5
citation |citation |citations ,8.333333333333334
licensing |licensing |Licensing ,8.0
experimental software engineering |experimental software engineering |Experimental software engineering ,8.0
public |public ,8.0
discipline |disciplines |discipline |Discipline ,7.75
software development |software development ,7.666666666666667
engineering discipline |engineering discipline |engineering disciplines ,7.5
title |title ,7.5
work |work ,7.5
practice |practices |practice |Practice ,7.4
british columbia |British Columbia ,7.0
job |Jobs |jobs |job ,7.0
category |category ,7.0
guide |Guide |guides ,7.0
use |use |Use ,7.0
approach |approach |approaches ,6.666666666666667
quality |Quality |quality ,6.5
problem |problems |problem ,6.5
practitioner |Practitioners |practitioners |Practitioner ,6.5
method |methods |Methods |method ,6.5
theory |theory |Theory ,6.5
field |field |fields ,6.4
search |search ,6.0
history |History ,6.0
skill |skills ,6.0
association |association |Association |associations ,6.0
computer programming |computer programming |Computer Programming ,6.0
cost |Cost |cost ,6.0
first |first ,6.0
growth |growth ,6.0
exam |exams |exam ,6.0
world |world ,5.5
link |link |links ,5.5
analysis |analysis ,5.5
dijkstra |Dijkstra ,5.5
requirement |requirements ,5.333333333333333
ethic |ethics |Ethics ,5.25
profession |profession |professions ,5.0
report |report |Report ,5.0
brook |Brooks ,5.0
department |Department ,5.0
zealand |Zealand ,5.0
machine |machine |machines ,5.0
conference |conferences |conference ,5.0
software project |software projects |Software projects ,5.0
book |book ,5.0
empirical software engineering |Empirical Software Engineering |Empirical software engineering ,5.0
knowledge |knowledge |Knowledge ,5.0
nato |NATO ,5.0
swebok |SWEBOK ,5.0
apegbc |APEGBC ,5.0
research |Research |research ,5.0
tool |tools |Tools ,4.666666666666667
canada |Canada ,4.666666666666667
university |University ,4.666666666666667
labor |Labor ,4.5
united state |United States ,4.5
business |business |businesses ,4.5
computing |computing ,4.5
concept |concept |concepts ,4.5
maintenance |maintenance ,4.428571428571429
design |design ,4.333333333333333
license |License |licenses |license ,4.333333333333333
hardware |hardware |Hardware ,4.333333333333333
aspect |aspects |Aspects ,4.25
developer |developers ,4.0
display |display ,4.0
curriculum |curriculum ,4.0
help |help ,4.0
ieee computer society |IEEE Computer Society ,4.0
iceland |Iceland ,4.0
distance |distance ,4.0
experiment |experiments ,4.0
ethical code |ethical codes ,4.0
software engineering degree |software engineering degrees ,4.0
experience |experience ,4.0
society |society ,4.0
level |level ,4.0
steve |Steve ,4.0
no silver bullet |no silver bullets |no silver bullet ,4.0
management |management ,4.0
basili |Basili ,4.0
outsourcing |outsourcing ,4.0
master |Master ,4.0
p eng |P Eng ,4.0
interest |interest ,4.0
north |North ,4.0
software crisis |software crisis ,4.0
software engineering institute |Software Engineering Institute ,4.0
configuration |configuration ,4.0
wikipedia article |Wikipedia articles ,4.0
professional certification |professional certification ,4.0
internet |Internet ,4.0
mcconnell |McConnell ,4.0
fred brook |Fred Brooks ,4.0
apegga |APEGGA ,4.0
icelandic |Icelandic ,4.0
software production |software production ,4.0
specification |specification ,4.0
unsourced statement |unsourced statements ,3.8
organization |organizations ,3.75
ontario |Ontario ,3.6666666666666665
education |education ,3.5
parnas |Parnas ,3.5
external link |external links ,3.5
decade |decades |decade ,3.5
application |application |applications ,3.4285714285714284
texas |Texas ,3.3333333333333335
statistic |Statistics |statistics ,3.3333333333333335
state |state |states ,3.25
people |people ,3.25
wikipedia |Wikipedia ,3.1818181818181817
edsger w |Edsger W ,3.0
software design |Software design ,3.0
michael a jackson |Michael A Jackson ,3.0
schedule |schedule ,3.0
software developer |software developers |software developer ,3.0
industry |industry |Industry ,3.0
complexity |complexity ,3.0
rombach |Rombach ,3.0
springer-verlag |Springer-Verlag ,3.0
professional engineering |professional engineering |Professional Engineering ,3.0
area |area |Areas |areas ,3.0
isern |ISERN ,3.0
include |include ,3.0
humphrey |Humphrey ,3.0
professional software development |Professional Software Development |Professional software development ,3.0
globalization |globalization ,3.0
fault |fault ,3.0
formal method |formal methods |Formal methods ,3.0
information system |information systems ,3.0
no silver |No Silver ,3.0
global |global ,3.0
custom software |custom software ,3.0
pdf |PDF ,3.0
style editing |style editing ,3.0
software testing |Software testing ,3.0
productivity |productivity ,3.0
peo |PEO ,3.0
writing |writing ,3.0
validation |validation ,3.0
iccp |ICCP ,3.0
property damage |property damage |Property Damage ,3.0
software process |Software Process ,3.0
additional reference |additional references ,3.0
professional engineer license |professional engineer license |Professional Engineer license |Professional engineer licenses ,3.0
professionalism |Professionalism |professionalism ,3.0
quebec |Quebec ,3.0
manifesto |Manifesto ,3.0
selby |Selby ,3.0
